,RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT
0,1,Bulls,9,195828,21758,104.0,8,17164,87.7,17,19596,96.6
1,2,Cavaliers,10,205620,20562,100.0,10,19188,98.1,20,19875,99.1
2,3,Mavericks,8,160894,20111,104.7,13,17474,93.1,21,18479,97.6
3,4,Raptors,8,159100,19887,100.4,13,17450,91.2,21,18378,94.8
4,5,NY Knicks,11,217932,19812,100.0,10,18735,97.7,21,19299,98.9
5,6,Heat,13,255399,19646,100.2,5,16840,84.2,18,18866,95.7
6,7,Warriors,10,195960,19596,100.0,12,18394,98.7,22,18940,99.3
7,8,Jazz,8,156588,19573,98.3,10,17026,87.0,18,18158,92.1
8,9,Trail Blazers,10,192882,19288,92.7,11,17094,90.3,21,18139,91.5
9,10,Clippers,14,267955,19139,100.4,6,17785,93.2,20,18733,98.3
10,11,Lakers,7,132979,18997,99.7,13,19360,99.4,20,19233,99.5
11,12,Spurs,11,202598,18418,99.1,10,18264,95.9,21,18345,97.6
12,13,Thunder,12,218436,18203,100.0,8,19104,99.0,20,18563,99.6
13,14,Wizards,10,178561,17856,88.1,8,17689,91.2,18,17782,89.4
14,15,Celtics,10,178459,17845,95.8,10,16777,91.0,20,17311,93.4
15,16,Rockets,13,229171,17628,97.7,8,18072,93.7,21,17797,96.1
16,17,Kings,12,208151,17345,100.2,10,16766,89.0,22,17082,94.9
17,18,Magic,10,173349,17334,92.0,10,17146,88.5,20,17240,90.2
18,19,Suns,10,173034,17303,93.9,11,16580,86.3,21,16924,89.8
19,20,Pelicans,9,153966,17107,99.5,11,18691,97.2,20,17978,98.2
20,21,Grizzlies,11,187417,17037,94.0,10,17765,94.5,21,17384,94.3
21,22,Hornets,11,181839,16530,86.7,8,19106,97.3,19,17615,91.2
22,23,Pistons,10,163239,16323,73.9,11,17001,90.2,21,16678,81.8
23,24,Pacers,8,128716,16089,88.6,11,17868,88.8,19,17119,88.7
24,25,Hawks,12,191705,15975,85.3,10,17541,92.8,22,16687,88.7
25,26,76ers,9,134558,14950,73.5,12,17271,91.2,21,16276,83.3
26,27,Nets,8,118489,14811,81.8,12,17463,93.0,20,16402,88.6
27,28,Bucks,10,143628,14362,76.7,11,16427,84.3,21,15444,80.8
28,29,Timberwolves,10,139648,13964,72.1,9,17720,93.3,19,15743,82.1
29,30,Nuggets,9,122566,13618,71.1,12,17790,93.6,21,16002,83.9
