,RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,TOTAL,AVG,PCT,GMS,TOTAL,AVG,PCT
0,1,Dallas,6,551200,91866,114.8,5,351872,70374,99.4,11,903072,82097,108.3
1,2,NY Giants,5,393654,78730,95.4,6,448289,74714,99.4,11,841943,76540,97.5
2,3,Green Bay,6,470527,78421,107.5,6,400513,66752,101.5,12,871040,72586,104.7
3,4,NY Jets,6,468960,78160,94.7,4,258467,64616,97.2,10,727427,72742,95.6
4,5,Denver,5,384845,76969,101.1,6,391145,65190,97.3,11,775990,70544,99.2
5,6,Kansas City,4,301061,75265,98.1,6,402778,67129,99.0,10,703839,70383,98.6
6,7,Washington,6,449104,74850,81.6,5,365666,73133,96.5,11,814770,74070,87.7
7,8,Carolina,6,443865,73977,100.3,5,341721,68344,97.9,11,785586,71416,99.2
8,9,New Orleans,5,365127,73025,100.1,6,418885,69814,97.3,11,784012,71273,98.6
9,10,Houston,6,430352,71725,100.9,5,327875,65575,95.6,11,758227,68929,98.6
10,11,Baltimore,5,354787,70957,99.9,6,394128,65688,96.3,11,748915,68083,98.0
11,12,San Francisco,6,424794,70799,103.4,5,328850,65770,95.8,11,753644,68513,99.9
12,13,Atlanta,6,422165,70360,98.8,5,375169,75033,100.6,11,797334,72484,99.6
13,14,Buffalo,5,351661,70332,96.2,5,348021,69604,96.0,10,699682,69968,96.1
14,15,Philadelphia,5,347080,69416,102.7,6,453909,75651,97.9,11,800989,72817,99.9
15,16,Seattle,6,414080,69013,103.0,5,357514,71502,101.5,11,771594,70144,102.3
16,17,New England,6,400974,66829,97.2,5,388669,77733,103.7,11,789643,71785,100.3
17,18,Cleveland,5,334104,66820,91.3,6,394657,65776,93.8,11,728761,66251,92.6
18,19,San Diego,6,398873,66478,93.2,5,318719,63743,97.6,11,717592,65235,95.1
19,20,Indianapolis,6,396565,66094,104.9,5,352540,70508,98.4,11,749105,68100,101.7
20,21,Miami,3,195235,65078,99.6,7,489096,69870,94.1,10,684331,68433,95.6
21,22,Pittsburgh,6,388919,64819,99.7,5,332340,66468,95.2,11,721259,65569,97.6
22,23,Arizona,5,319179,63835,100.7,6,394248,65708,98.6,11,713427,64857,99.5
23,24,Tennessee,6,378927,63154,91.3,5,336202,67240,96.0,11,715129,65011,93.5
24,25,Chicago,5,311996,62399,101.5,6,407623,67937,97.6,11,719619,65419,99.2
25,26,Tampa Bay,5,308387,61677,94.0,6,423452,70575,96.8,11,731839,66530,95.6
26,27,Cincinnati,6,368300,61383,93.7,5,324558,64911,96.7,11,692858,62987,95.1
27,28,Detroit,7,429469,61352,95.1,4,265943,66485,101.8,11,695412,63219,97.6
28,29,Jacksonville,5,303859,60771,90.5,5,339925,67985,96.9,10,643784,64378,93.7
29,30,Oakland,5,272413,54482,86.4,6,381179,63529,94.2,11,653592,59417,90.8
30,31,St. Louis,5,265608,53121,81.3,6,398571,66428,96.1,11,664179,60379,89.6
31,32,Minnesota,5,262134,52426,104.9,6,395680,65946,97.7,11,657814,59801,100.4
