,RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT
0,1,Chicago,13,281348,21642,109.8,14,17851,99.7,27,19676,104.8
1,2,Montreal,15,319320,21288,100.1,13,17411,95.7,28,19488,98.2
2,3,Detroit,17,340459,20027,100.0,10,18357,97.2,27,19408,99.0
3,4,Toronto,12,231706,19308,102.6,15,17492,95.3,27,18299,98.6
4,5,Philadelphia,13,248835,19141,98.0,14,17071,95.1,27,18068,96.6
5,6,Calgary,12,229642,19136,99.2,14,16182,91.4,26,17546,95.2
6,7,Tampa Bay,12,229104,19092,100.0,16,17169,94.1,28,17993,96.7
7,8,Minnesota,14,266164,19011,105.9,12,16695,92.9,26,17942,99.9
8,9,Pittsburgh,13,240887,18529,100.8,13,17740,98.6,26,18135,99.7
9,10,Washington,14,259084,18506,100.0,11,17967,96.5,25,18269,98.5
10,11,Vancouver,13,239085,18391,97.3,16,17368,95.4,29,17826,96.2
11,12,Los Angeles,16,291932,18245,100.1,10,16710,91.5,26,17655,96.8
12,13,St. Louis,13,237123,18240,95.2,14,17200,95.1,27,17701,95.2
13,14,Buffalo,15,272556,18170,95.3,13,16803,92.3,28,17535,93.9
14,15,Dallas,12,217373,18114,97.7,15,17492,94.5,27,17769,95.9
15,16,NY Rangers,17,306102,18006,100.0,11,18427,100.1,28,18171,100.0
16,17,Boston,13,228345,17565,100.0,13,17087,93.9,26,17326,96.9
17,18,Ottawa,15,263224,17548,91.6,12,17055,91.7,27,17329,91.7
18,19,Nashville,13,218982,16844,98.4,14,16659,91.9,27,16748,94.9
19,20,Edmonton,13,218907,16839,100.0,15,17916,96.8,28,17416,98.2
20,21,San Jose,12,198086,16507,94.0,14,16868,92.7,26,16701,93.3
21,22,Colorado,11,178770,16251,90.3,17,16524,91.9,28,16417,91.2
22,23,Anaheim,16,255612,15975,93.0,12,16294,90.3,28,16112,91.8
23,24,Winnipeg,12,183528,15294,101.9,16,17522,95.6,28,16567,98.0
24,25,Columbus,12,173129,14427,79.5,16,17773,95.8,28,16339,88.9
25,26,New Jersey,15,208585,13905,78.9,12,17416,93.0,27,15466,85.4
26,27,Arizona,10,132788,13278,77.5,17,16112,89.2,27,15063,85.0
27,28,Florida,13,169885,13068,76.7,14,16843,91.1,27,15025,84.4
28,29,NY Islanders,16,202175,12635,79.9,12,17665,94.0,28,14791,86.6
29,30,Carolina,15,161397,10759,57.6,12,17235,94.1,27,13637,73.6
