,Ranking,Teams,DIV,GP,W,L,OT,P,ROW,GF,GA,Diff,Home,Away,S/O,L10,Streak,Pct
0,1,Dallas,C,27,20,5,2,42,19,93,70,+23,9-3-0,11-2-2,1-1,7-1-2,OT 1,0.740740740741
1,2,Montréal,A,28,19,6,3,41,18,94,63,+31,10-3-2,9-3-1,1-1,6-3-1,Lost 2,0.678571428571
2,3,NY Rangers,M,28,18,7,3,39,17,80,58,+22,12-4-1,6-3-2,1-2,4-5-1,Won 1,0.642857142857
3,4,Washington,M,25,18,5,2,38,17,79,55,+24,10-3-1,8-2-1,1-0,7-1-2,OT 1,0.72
4,5,Los Angeles,P,26,17,8,1,35,16,68,55,+13,11-5-0,6-3-1,1-1,7-2-1,Won 4,0.653846153846
5,6,NY Islanders,M,28,15,8,5,35,13,78,67,+11,10-4-2,5-4-3,2-2,6-2-2,OT 1,0.535714285714
6,7,Detroit,A,27,15,8,4,34,14,71,69,+2,9-5-3,6-3-1,1-0,7-0-3,Won 3,0.555555555556
7,8,St. Louis,C,27,15,8,4,34,14,68,67,+1,7-4-2,8-4-2,1-1,4-3-3,Lost 1,0.555555555556
8,9,Ottawa,A,27,14,8,5,33,11,86,81,+5,7-4-4,7-4-1,3-3,6-3-1,Lost 1,0.518518518519
9,10,Minnesota,C,25,14,7,4,32,14,69,62,+7,10-3-1,4-4-3,-,4-4-2,Won 3,0.56
10,11,Chicago,C,27,14,9,4,32,14,74,69,+5,9-3-1,5-6-3,-,5-2-3,Won 1,0.518518518519
11,12,Boston,A,25,14,8,3,31,13,83,72,+11,5-6-1,9-2-2,1-1,7-1-2,Won 1,0.56
12,13,Nashville,C,26,13,8,5,31,11,69,69,E,8-3-2,5-5-3,2-1,3-5-2,OT 1,0.5
13,14,New Jersey,M,27,14,10,3,31,12,69,66,+3,6-6-3,8-4-0,2-2,4-4-2,Won 1,0.518518518519
14,15,Pittsburgh,M,26,14,10,2,30,13,61,62,-1,8-4-1,6-6-1,1-1,4-4-2,Lost 2,0.538461538462
15,16,Florida,A,27,13,10,4,30,10,69,66,+3,6-5-2,7-5-2,3-1,6-3-1,Lost 1,0.481481481481
16,17,Tampa Bay,A,28,13,12,3,29,12,66,65,+1,6-5-1,7-7-2,1-2,5-4-1,Lost 1,0.464285714286
17,18,San Jose,P,26,14,12,0,28,13,70,68,+2,4-8-0,10-4-0,1-0,6-4-0,Lost 3,0.538461538462
18,19,Winnipeg,C,28,13,13,2,28,13,76,85,-9,7-4-1,6-9-1,0-1,5-5-0,Lost 1,0.464285714286
19,20,Arizona,P,27,13,13,1,27,13,74,85,-11,6-4-0,7-9-1,-,4-6-0,Lost 4,0.481481481481
20,21,Philadelphia,M,27,11,11,5,27,10,54,74,-20,5-5-3,6-6-2,1-1,5-3-2,Lost 1,0.407407407407
21,22,Anaheim,P,28,11,12,5,27,10,55,68,-13,8-4-4,3-8-1,1-1,5-4-1,Won 2,0.392857142857
22,23,Vancouver,P,28,9,11,8,26,8,72,79,-7,3-6-3,6-5-5,1-1,2-5-3,Lost 2,0.321428571429
23,24,Buffalo,A,27,11,13,3,25,10,65,73,-8,6-8-1,5-5-2,1-2,3-5-2,Lost 1,0.407407407407
24,25,Carolina,M,27,10,13,4,24,10,59,81,-22,6-6-3,4-7-1,0-1,4-4-2,Won 2,0.37037037037
25,26,Edmonton,P,28,11,15,2,24,9,71,82,-11,7-5-1,4-10-1,2-0,5-3-2,Won 3,0.392857142857
26,27,Colorado,C,27,11,15,1,23,11,75,80,-5,3-6-1,8-9-0,-,4-6-0,Lost 1,0.407407407407
27,28,Toronto,A,27,9,13,5,23,7,61,74,-13,4-5-3,5-8-2,2-4,4-5-1,Won 1,0.333333333333
28,29,Columbus,M,28,11,16,1,23,11,66,81,-15,4-7-1,7-9-0,0-1,5-4-1,Won 1,0.392857142857
29,30,Calgary,P,26,10,14,2,22,9,65,94,-29,7-5-0,3-9-2,1-1,5-4-1,Won 2,0.384615384615
